Realisation number,Variable,index,Lag-2 AC,Smax,Lag-10 AC,Lag-1 AC,Standard deviation,Coefficient of variation,Variance,Skewness,Kurtosis
31,Brachionus,0,-0.555955481884916,-0.4761904761904762,0.5149419843713,-0.5957376272791854,-0.3895335069855553,-0.6398768647880654,-0.3895335069855553,0.10840634619938433,0.4600047359696898
32,Chlorella,0,-0.8741179256452759,0.7238095238095239,-0.07051858868103245,-0.85356381719157,0.8946720340989818,0.8609519299076487,0.8946720340989818,0.7872602415344543,0.3499408003788776
32,Brachionus,0,-0.8656878995974426,-0.5142857142857143,0.1940326781908596,-0.8573525929434053,-0.11929907648591048,-0.6301207672270898,-0.11929907648591048,-0.8618991238456074,-0.5039545346909781
33,Chlorella,0,-0.8285578972294578,0.9333333333333335,-0.7739048070092351,-0.6663035756571158,0.9249822401136633,0.9081221880179968,0.9249822401136633,0.2920672507695951,-0.25995737627279186
33,Brachionus,0,-0.6825005919962113,0.3142857142857143,-0.6323940326781909,-0.3832820269950272,0.5018707080274687,0.24593890599100168,0.5018707080274687,0.33194411555766046,0.199242244849633
34,Chlorella,0,-0.956713237035283,0.7238095238095239,0.02334833057068435,-0.9320861946483543,0.7900071039545348,0.7262609519299077,0.7900071039545348,0.6785223774567843,0.6120293630120768
34,Brachionus,0,-0.9173099692161971,-0.6,-0.0796116504854369,-0.8971347383376747,-0.39777409424579685,-0.6290788538953351,-0.39777409424579685,-0.5799194885152735,0.591380535164575
35,Chlorella,0,-0.7789249348804168,0.7047619047619048,0.08396874260004737,-0.8008998342410609,0.7730523324650722,0.7017286289367749,0.7730523324650722,0.07478096140184703,-0.11797300497276816
35,Brachionus,0,-0.4100876154392612,-0.2857142857142857,0.3757044754913569,-0.43139947904333414,-0.424390243902439,-0.6934880416765333,-0.424390243902439,-0.6153445417949325,0.4076249112005684
36,Chlorella,0,0.17973004972768175,-0.48571428571428577,-0.42031730996921624,0.24556002841581814,-0.5682690030783804,-0.6886573525929435,-0.5682690030783804,0.3522140658299787,-0.24622306417238932
36,Brachionus,0,0.2298366090457021,-0.4571428571428572,0.6969926592469808,0.011034809377219986,-0.5426947667534927,-0.7544873312810798,-0.5426947667534927,-0.792943405162207,0.6943405162206963
37,Chlorella,0,-0.842576367511248,0.6761904761904762,-0.6695240350461757,-0.8346199384323941,0.6825005919962113,0.5821927539663746,0.6825005919962113,0.5665640539900545,0.603125739995264
37,Brachionus,0,-0.6091877811982003,-0.34285714285714286,-0.6889415107743311,-0.6562633199147526,0.1067013971110585,-0.3867866445654748,0.1067013971110585,-0.23940326781908594,0.6358986502486385
38,Chlorella,0,-0.4183282026995027,0.34285714285714286,-0.5194885152735023,-0.33658536585365856,0.24461283447785936,0.18332938669192517,0.24461283447785936,-0.10613308074828322,-0.21629173573289132
38,Brachionus,0,-0.43471465782618995,-0.5619047619047619,-0.3847028179019654,-0.6089036230168128,-0.5948851527350225,-0.7828084300260478,-0.5948851527350225,0.549609282500592,0.036609045702107504
39,Chlorella,0,-0.8415344541794934,0.8095238095238096,-0.6186597205777884,-0.8130239166469335,0.7899123845607389,0.7490883258347146,0.7899123845607389,0.7083589865024864,0.5044281316599574
39,Brachionus,0,-0.8153919014918305,-0.5523809523809524,-0.23902439024390243,-0.8207909069381956,-0.27634383139947905,-0.6080511484726498,-0.27634383139947905,-0.5547241297655695,-0.34728865735259296
40,Chlorella,0,-0.887568079564291,0.8476190476190477,-0.2117452048306891,-0.8546057305233247,0.5016812692398769,0.3908595784986976,0.5016812692398769,-0.045986265687899604,-0.02050674875680796
40,Brachionus,0,-0.6962349040966138,-0.5619047619047619,-0.008950982713710632,-0.7131896755860763,-0.5000710395453469,-0.6222590575420317,-0.5000710395453469,0.6955718683400427,0.29595074591522613
41,Chlorella,0,-0.899218565001184,0.4952380952380953,-0.05147999052806062,-0.8880416765332702,0.2634619938432394,0.22623727208145872,0.2634619938432394,0.49353540137343127,0.856689557186834
41,Brachionus,0,-0.8956192280369406,-0.46666666666666673,-0.3903859815297182,-0.894577314705186,-0.36746388823111537,-0.5117215249822401,-0.36746388823111537,0.4352829741889652,0.7024863840871419
42,Chlorella,0,-0.8198437130002368,0.7047619047619048,0.5846554582050675,-0.7625384797537296,0.6835425053279659,0.5870234430499646,0.6835425053279659,-0.29102533743784037,-0.6737864077669904
42,Brachionus,0,-0.7052332465072224,0.2380952380952381,-0.21183992422448497,-0.6203646696661143,0.35874970400189443,0.11200568316362777,0.35874970400189443,0.2238692872365617,-0.10281790196542742
43,Chlorella,0,-0.8061094008998343,0.8285714285714286,-0.6659246980819323,-0.7317546767700687,0.8338621832820271,0.7563817191569975,0.8338621832820271,0.01955955481884916,0.0581103480937722
43,Brachionus,0,-0.8341463414634147,-0.8095238095238096,-0.15254558370826427,-0.8597205777883022,-0.695287710158655,-0.8054463651432632,-0.695287710158655,0.042386928723656174,0.8260004735969689
44,Chlorella,0,-0.9063225195358751,0.9142857142857144,-0.049585602652143033,-0.8613308074828322,0.883495145631068,0.854416291735733,0.883495145631068,0.6601468150603836,0.5768884679138053
44,Brachionus,0,-0.8879469571394742,-0.2285714285714286,-0.07364432867629647,-0.8717499408003789,0.46199384323940335,-0.07838029836609046,0.46199384323940335,0.8222116978451338,0.2153445417949325
